Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,118,148,174,202,272,302,330,454
1000,174,202,230,258,328,356,384,510
1500,222,250,278,306,376,404,432,558
2000,270,298,326,354,424,452,482,606
2500,324,354,386,418,478,508,540,662
3000,374,410,444,478,526,560,594,710
3500,428,464,504,542,602,640,678,814
4000,480,520,562,604,650,690,732,862
4500,532,576,622,666,724,768,812,960
5000,584,632,680,728,772,820,868,1008
5500,636,688,740,790,846,898,948,1106
6000,688,744,798,852,894,948,1004,1154
6500,742,800,858,916,966,1024,1082,1248
7000,794,854,916,978,1014,1076,1136,1296
7500,846,910,976,1040,1084,1148,1214,1388
8000,898,966,1034,1102,1134,1200,1270,1436
8500,952,1022,1094,1166,1202,1274,1344,1526
9000,1002,1078,1152,1226,1252,1326,1400,1574
9500,1056,1134,1210,1290,1318,1396,1474,1658
10000,1106,1188,1270,1350,1366,1448,1528,1706
