58mm Diameter,,
Qty,150gsm Art Paper(Gloss Lamination),150gsm Art Paper(Soft Touch Lamination)
10,52,56
20,56,60
30,62,68
40,68,72
50,74,78
60,84,88
70,88,94
80,94,100
90,100,106
100,104,110
150,130,140
200,164,174
250,196,208
300,228,242
350,260,276
400,292,310
450,326,346
500,358,378
550,390,412
600,422,446
650,456,480
700,488,514
750,520,548
800,552,582
850,586,618
900,618,652
950,650,684
1000,534,572
1500,740,794
2000,904,974
2500,1098,1186
3000,1292,1396
3500,1488,1608
4000,1682,1818
4500,1878,2032
5000,2072,2242
10000,3708,4044
