JCF7 (4C * 4C),,,,,,,,,
Qty,260gsm + Matte Lamination(D),260gsm + Matte Lamination(S) + Front SpotUV(S),260gsm + Matte Lamination(D) + Front SpotUV(S),310gsm + Matte Lamination(D),310gsm + Matte Lamination(S) + Front SpotUV(S),310gsm + Matte Lamination(D) + Front SpotUV(S),360gsm + Matte Lamination(D),360gsm + Matte Lamination(S) + Front SpotUV(S),360gsm + Matte Lamination(D) + Front SpotUV(S)
250,1036,1140,1208,1094,1196,1264,1150,1254,1322
300,1074,1176,1254,1134,1238,1314,1194,1298,1376
350,1110,1214,1298,1174,1278,1362,1238,1344,1428
400,1144,1248,1342,1214,1318,1412,1282,1386,1480
450,1180,1286,1386,1252,1358,1460,1326,1432,1534
500,1238,1342,1454,1314,1420,1530,1390,1496,1606
550,1274,1380,1498,1354,1458,1578,1434,1540,1658
600,1310,1416,1544,1394,1500,1628,1478,1584,1712
650,1346,1452,1590,1434,1540,1676,1522,1628,1764
700,1384,1490,1634,1476,1582,1726,1566,1672,1816
750,1420,1528,1680,1514,1622,1774,1610,1718,1870
800,1456,1562,1724,1554,1662,1824,1654,1760,1922
850,1512,1620,1790,1614,1722,1892,1716,1824,1994
900,1548,1656,1834,1656,1762,1942,1760,1870,2048
950,1586,1694,1880,1694,1802,1990,1804,1914,1982
1000,1622,1730,1926,1734,1844,2040,1848,1958,2032
