JCF5 (4C * 4C),,,,,,,,,
Qty,260gsm + Matte Lamination(D),260gsm + Matte Lamination(S) + Front SpotUV(S),260gsm + Matte Lamination(D) + Front SpotUV(S),310gsm + Matte Lamination(D),310gsm + Matte Lamination(S) + Front SpotUV(S),310gsm + Matte Lamination(D) + Front SpotUV(S),360gsm + Matte Lamination(D),360gsm + Matte Lamination(S) + Front SpotUV(S),360gsm + Matte Lamination(D) + Front SpotUV(S)
250,940,1042,1104,980,1084,1146,1022,1124,1188
300,970,1074,1142,1012,1116,1186,1058,1160,1230
350,1000,1104,1182,1046,1150,1228,1094,1196,1276
400,1030,1134,1220,1080,1184,1270,1128,1232,1320
450,1060,1164,1258,1112,1216,1310,1166,1270,1364
500,1112,1216,1318,1166,1270,1374,1220,1326,1428
550,1140,1246,1356,1198,1304,1414,1258,1362,1472
600,1170,1276,1394,1232,1338,1456,1294,1398,1516
650,1200,1308,1432,1264,1370,1496,1328,1436,1560
700,1232,1338,1472,1298,1404,1538,1366,1472,1606
750,1262,1368,1510,1332,1438,1580,1400,1506,1648
800,1292,1400,1548,1364,1472,1622,1436,1544,1692
850,1344,1450,1608,1418,1526,1682,1492,1600,1756
900,1374,1480,1646,1450,1558,1722,1530,1636,1802
950,1404,1512,1684,1484,1594,1766,1564,1672,1844
1000,1434,1542,1722,1518,1626,1806,1600,1708,1890
