EV4090NW 102mm x 229mm,,,,,,,,
Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,98,126,150,178,248,274,300,422
1000,134,160,188,214,284,310,336,460
1500,164,190,218,244,314,340,366,490
2000,194,220,246,272,342,370,396,518
2500,228,258,288,318,378,406,436,556
3000,262,294,328,362,408,440,474,586
3500,296,332,368,404,464,500,538,670
4000,330,370,408,448,496,534,574,700
4500,364,408,450,494,550,594,636,780
5000,396,442,488,536,580,626,672,808
5500,430,480,530,580,634,684,734,888
6000,464,518,570,624,666,718,770,918
6500,498,554,610,666,716,774,830,994
7000,532,592,652,710,746,806,868,1022
7500,566,628,692,754,798,862,924,1094
8000,598,664,732,798,830,896,962,1124
8500,634,704,772,842,880,948,1020,1196
9000,666,740,812,886,910,982,1056,1226
9500,700,776,854,930,958,1034,1110,1292
10000,734,814,894,972,988,1068,1148,1322
