EV1015NW 254mm x 381mm,,,,,,,,
Quantity,1C,2C,2C + 1C,2C + 2C,4C,4C + 1C,4C + 2C,4C + 4C
500,146,176,206,238,308,338,368,498
1000,228,258,288,318,388,418,448,578
1500,300,330,362,392,462,492,522,652
2000,376,406,436,466,536,566,596,728
2500,454,488,520,554,614,648,682,808
3000,532,568,604,642,688,726,762,882
3500,610,650,690,732,790,830,870,1010
4000,688,732,774,818,864,908,952,1086
4500,766,812,860,906,964,1010,1058,1208
5000,844,894,944,994,1038,1088,1138,1284
5500,922,976,1028,1082,1138,1192,1246,1406
6000,1000,1056,1114,1170,1212,1268,1326,1480
6500,1078,1138,1198,1258,1308,1368,1428,1598
7000,1156,1220,1282,1346,1382,1446,1510,1674
7500,1234,1300,1368,1434,1478,1546,1612,1790
8000,1312,1382,1452,1522,1552,1624,1694,1864
8500,1390,1464,1536,1612,1648,1722,1796,1980
9000,1468,1546,1622,1698,1722,1800,1876,2054
9500,1546,1626,1706,1788,1816,1896,1976,2164
10000,1624,1708,1790,1874,1888,1972,2056,2238
